"participant","gender","age","IAT_accuracy","block_order","D1","condition","IAT_mean_RT","ratings_pre","ratings_post","valenced_stimuli_ratings","ratings_change_scores"
1,"m",17,88.33,"consistent_first","0.45","flowers",602,2.6,1.6,4.6,-1
10,"f",29,94.17,"inconsistent_first","-0.44","flowers",569,2.8,3.2,3.4,0.4
11,"f",22,95.83,"inconsistent_first","-0.19","insects",638,3.2,3.2,1.8,0
12,"m",21,90.83,"consistent_first","-0.73","insects",692,2.8,3.2,2.2,0.4
13,"f",22,92.5,"consistent_first","0.17","flowers",560,2.6,2.8,4,0.2
14,"f",23,93.33,"inconsistent_first","-0.14","flowers",603,3.6,2.8,4.8,-0.8
15,"f",21,90.83,"inconsistent_first","0.34","insects",682,3,3,1.6,0
16,"f",20,88.33,"consistent_first","0.33","insects",574,2.6,3.2,1,0.6
17,"m",22,94.17,"consistent_first","-0.57","flowers",651,2.8,3,4,0.2
18,"f",24,91.67,"inconsistent_first","-0.7","flowers",648,2.2,3,4.4,0.8
19,"f",21,97.5,"inconsistent_first","0.08","insects",904,2.6,2.8,1.8,0.2
2,"f",20,95,"inconsistent_first","0.67","flowers",605,2,2,4.4,0
20,"f",18,97.5,"consistent_first","-0.2","insects",748,2.6,2.4,2.4,-0.2
21,"f",26,94.17,"consistent_first","-0.48","flowers",609,3.2,3.4,5,0.2
22,"f",22,95,"inconsistent_first","-1","flowers",769,3.2,3,3.8,-0.2
23,"m",23,99.17,"inconsistent_first","-0.48","insects",631,3.6,3.4,2.6,-0.2
24,"m",18,94.17,"consistent_first","0.37","insects",658,3,2.6,2.4,-0.4
25,"f",19,90,"consistent_first","-0.41","flowers",857,3,2.4,4,-0.6
26,"f",22,95,"inconsistent_first","-0.86","flowers",723,3.4,2.6,3.4,-0.8
27,"f",18,100,"inconsistent_first","-0.64","insects",730,3.2,3,1.4,-0.2
28,"f",23,99.17,"consistent_first","0.15","insects",718,2.6,2.2,1.6,-0.4
29,"m",23,90.83,"consistent_first","-0.32","flowers",757,3.2,2.6,4.2,-0.6
3,"m",23,87.5,"inconsistent_first","-0.04","insects",597,3.4,3.4,2,0
30,"f",19,96.67,"inconsistent_first","-0.89","flowers",613,2.8,1.4,4.8,-1.4
31,"f",24,94.17,"inconsistent_first","-0.72","insects",589,2.8,3.8,1,1
32,"f",22,94.17,"consistent_first","0.36","insects",586,3,2.8,2.8,-0.2
33,"m",23,90,"consistent_first","-0.2","flowers",605,3,3.4,2.8,0.4
34,"f",23,89.17,"inconsistent_first","-0.21","flowers",534,3,3,5,0
35,"m",26,83.33,"inconsistent_first","-0.47","insects",517,2.2,2.4,2.2,0.2
36,"f",24,86.67,"consistent_first","0.02","insects",705,3,3.6,2,0.6
37,"f",18,89.17,"consistent_first","-0.82","flowers",749,3.2,2.2,5,-1
38,"m",22,91.67,"inconsistent_first","-0.32","flowers",705,2.2,1.6,4.4,-0.6
39,"f",23,95,"inconsistent_first","-0.43","insects",567,2.4,2.8,2.2,0.4
4,"f",21,96.67,"consistent_first","0.1","insects",613,4,3.8,2,-0.2
40,"m",18,97.5,"consistent_first","0.53","insects",821,3.2,3.6,2,0.4
41,"f",23,92.5,"consistent_first","-0.08","flowers",643,3.2,2.8,3.4,-0.4
42,"f",20,87.5,"inconsistent_first","-0.34","flowers",622,3.2,3,4.4,-0.2
43,"f",21,87.5,"inconsistent_first","-0.4","insects",521,3,3.2,1.6,0.2
44,"m",19,81.67,"consistent_first","0","insects",945,2.4,2,2,-0.4
45,"m",19,92.5,"consistent_first","-0.61","flowers",627,2.4,2.4,4.6,0
46,"f",23,99.17,"inconsistent_first","-0.44","flowers",633,2.4,2.6,4.6,0.2
47,"f",24,93.33,"inconsistent_first","-0.26","insects",724,3.2,3,3,-0.2
48,"f",29,95,"consistent_first","-0.19","insects",775,3.2,3,2.8,-0.2
49,"f",21,88.33,"consistent_first","-0.22","flowers",624,2.4,1.6,4.4,-0.8
5,"m",25,77.5,"consistent_first","0.29","flowers",720,4.2,3.8,5,-0.4
50,"f",23,95,"inconsistent_first","-0.6","flowers",630,3,2.2,4.4,-0.8
51,"f",21,95,"inconsistent_first","0.06","insects",634,2.4,2.6,1,0.2
52,"f",19,96.67,"consistent_first","0.54","insects",663,3.2,4.2,2.4,1
6,"m",23,93.33,"inconsistent_first","-0.26","flowers",662,2.4,2,4,-0.4
7,"f",18,95.83,"inconsistent_first","-0.47","insects",550,3,3,1,0
8,"f",38,97.5,"consistent_first","0.21","insects",565,2.4,2.8,2.2,0.4
9,"f",21,98.33,"consistent_first","-0.15","flowers",613,2,2,4,0
