"participant","ratings","age","gender","exclude","IAT_condition","attribute_condition"
380644,2,36,"female",FALSE,"Flowers-Chinese IAT","nonword attributes"
380644,3,36,"female",FALSE,"Flowers-Chinese IAT","nonword attributes"
380644,2,36,"female",FALSE,"Flowers-Chinese IAT","nonword attributes"
380644,4,36,"female",FALSE,"Flowers-Chinese IAT","nonword attributes"
380644,2,36,"female",FALSE,"Flowers-Chinese IAT","nonword attributes"
380644,1,36,"female",FALSE,"Flowers-Chinese IAT","nonword attributes"
1882272,5,43,"male",FALSE,"Insects-Chinese IAT","nonword attributes"
1882272,5,43,"male",FALSE,"Insects-Chinese IAT","nonword attributes"
1882272,2,43,"male",FALSE,"Insects-Chinese IAT","nonword attributes"
1882272,2,43,"male",FALSE,"Insects-Chinese IAT","nonword attributes"
1882272,6,43,"male",FALSE,"Insects-Chinese IAT","nonword attributes"
1882272,3,43,"male",FALSE,"Insects-Chinese IAT","nonword attributes"
4303807,4,45,"male",FALSE,"Insects-Chinese IAT","nonword attributes"
4303807,4,45,"male",FALSE,"Insects-Chinese IAT","nonword attributes"
4303807,4,45,"male",FALSE,"Insects-Chinese IAT","nonword attributes"
4303807,4,45,"male",FALSE,"Insects-Chinese IAT","nonword attributes"
4303807,4,45,"male",FALSE,"Insects-Chinese IAT","nonword attributes"
4303807,4,45,"male",FALSE,"Insects-Chinese IAT","nonword attributes"
5034407,6,58,"female",FALSE,"Insects-Chinese IAT","nonword attributes"
5034407,6,58,"female",FALSE,"Insects-Chinese IAT","nonword attributes"
5034407,6,58,"female",FALSE,"Insects-Chinese IAT","nonword attributes"
5034407,3,58,"female",FALSE,"Insects-Chinese IAT","nonword attributes"
5034407,5,58,"female",FALSE,"Insects-Chinese IAT","nonword attributes"
5034407,3,58,"female",FALSE,"Insects-Chinese IAT","nonword attributes"
8322462,4,25,"female",FALSE,"Insects-Chinese IAT","opposite valenced attributes"
8322462,4,25,"female",FALSE,"Insects-Chinese IAT","opposite valenced attributes"
8322462,4,25,"female",FALSE,"Insects-Chinese IAT","opposite valenced attributes"
8322462,4,25,"female",FALSE,"Insects-Chinese IAT","opposite valenced attributes"
8322462,4,25,"female",FALSE,"Insects-Chinese IAT","opposite valenced attributes"
