"build","date","time","subject","blockcode","blocknum","trialcode","trialnum","stimulusitem1","response"
"4.0.10.0","060417","16:33:28","455843278","ratings","1","images","1","pic5.jpg","3"
"4.0.10.0","060417","16:33:28","455843278","ratings","1","images","2","pic1.jpg","3"
"4.0.10.0","060417","16:33:28","455843278","ratings","1","images","3","pic6.jpg","5"
"4.0.10.0","060417","16:33:28","455843278","ratings","1","images","4","pic2.jpg","5"
"4.0.10.0","060417","16:33:28","455843278","ratings","1","images","5","pic4.jpg","4"
"4.0.10.0","060417","16:33:28","455843278","ratings","1","images","6","pic3.jpg","3"
"4.0.10.0","060417","16:28:50","453917922","ratings","1","images","1","pic6.jpg","4"
"4.0.10.0","060417","16:28:50","453917922","ratings","1","images","2","pic4.jpg","4"
"4.0.10.0","060417","16:28:50","453917922","ratings","1","images","3","pic3.jpg","4"
"4.0.10.0","060417","16:28:50","453917922","ratings","1","images","4","pic1.jpg","4"
"4.0.10.0","060417","16:28:50","453917922","ratings","1","images","5","pic2.jpg","4"
"4.0.10.0","060417","16:28:50","453917922","ratings","1","images","6","pic5.jpg","4"
"4.0.10.0","060417","21:23:12","576824149","ratings","1","images","1","pic2.jpg","5"
"4.0.10.0","060417","21:23:12","576824149","ratings","1","images","2","pic3.jpg","5"
"4.0.10.0","060417","21:23:12","576824149","ratings","1","images","3","pic4.jpg","3"
"4.0.10.0","060417","21:23:12","576824149","ratings","1","images","4","pic6.jpg","3"
"4.0.10.0","060417","21:23:12","576824149","ratings","1","images","5","pic1.jpg","3"
"4.0.10.0","060417","21:23:12","576824149","ratings","1","images","6","pic5.jpg","6"
"4.0.10.0","060417","13:16:27","162872485","ratings","1","images","1","pic2.jpg","4"
"4.0.10.0","060417","13:16:27","162872485","ratings","1","images","2","pic1.jpg","5"
"4.0.10.0","060417","13:16:27","162872485","ratings","1","images","3","pic5.jpg","5"
"4.0.10.0","060417","13:16:27","162872485","ratings","1","images","4","pic3.jpg","3"
"4.0.10.0","060417","13:16:27","162872485","ratings","1","images","5","pic4.jpg","3"
"4.0.10.0","060417","13:16:27","162872485","ratings","1","images","6","pic6.jpg","4"
"4.0.10.0","060517","04:11:03","441229036","ratings","1","images","1","pic6.jpg","5"
"4.0.10.0","060517","04:11:03","441229036","ratings","1","images","2","pic2.jpg","4"
"4.0.10.0","060517","04:11:03","441229036","ratings","1","images","3","pic5.jpg","4"
"4.0.10.0","060517","04:11:03","441229036","ratings","1","images","4","pic3.jpg","5"
"4.0.10.0","060517","04:11:03","441229036","ratings","1","images","5","pic4.jpg","5"
