"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","windowcenter","trialduration","trialtimeout","blocktimeout","response","correct","latency","inwindow","stimulusnumber1","stimulusitem1","stimulusvpos1","stimulushpos1","stimulusonset1","stimulusnumber2","stimulusitem2","stimulusvpos2","stimulushpos2","stimulusonset2","stimulusnumber3","stimulusitem3","stimulusvpos3","stimulushpos3","stimulusonset3","stimulusnumber4","stimulusitem4","stimulusvpos4","stimulushpos4","stimulusonset4","stimulusnumber5","stimulusitem5","stimulusvpos5","stimulushpos5","stimulusonset5","stimulusnumber6","stimulusitem6","stimulusvpos6","stimulushpos6","stimulusonset6","stimulusnumber7","stimulusitem7","stimulusvpos7","stimulushpos7","stimulusonset7","stimulusnumber8","stimulusitem8","stimulusvpos8","stimulushpos8","stimulusonset8","stimulusnumber9","stimulusitem9","stimulusvpos9","stimulushpos9","stimulusonset9"
"060417","16:28:42","945186093","455843278","4.0.10.0","1","1","RMTS_test_2","A_negative_antonyms_left","750","0","0","0","0","0","18","1","5432","0","1","middle_rectangle","50pct","50pct","0","5","pic5.jpg","50","40","0","2","insect2.jpg","50","58","0","1","left_rectangle","15pct","15pct","0","1","right_rectangle","15pct","85pct","0","4","full         empty","15","15","0","4","full         full","15","85","0","1","Press E","4","15","0","1","Press I","4","85","0"
"060417","16:28:42","945186093","455843278","4.0.10.0","1","2","RMTS_test_2","A_positive_synonyms_right","750","0","0","0","0","0","18","0","13784","0","1","middle_rectangle","50pct","50pct","0","3","pic3.jpg","50","40","0","2","flower2.jpg","50","58","0","1","left_rectangle","15pct","15pct","0","1","right_rectangle","15pct","85pct","0","3","empty        full","15","15","0","3","empty        empty","15","85","0","1","Press E","4","15","0","1","Press I","4","85","0"
"060417","16:28:42","945186093","455843278","4.0.10.0","1","3","RMTS_test_2","A_negative_antonyms_left","750","0","0","0","0","0","18","1","6872","0","1","middle_rectangle","50pct","50pct","0","1","pic1.jpg","50","40","0","6","insect6.jpg","50","58","0","1","left_rectangle","15pct","15pct","0","1","right_rectangle","15pct","85pct","0","6","slow         fast","15","15","0","6","slow         slow","15","85","0","1","Press E","4","15","0","1","Press I","4","85","0"
"060417","16:28:42","945186093","455843278","4.0.10.0","1","4","RMTS_test_2","A_positive_synonyms_right","750","0","0","0","0","0","18","0","9592","0","1","middle_rectangle","50pct","50pct","0","6","pic5.jpg","50","40","0","1","flower1.jpg","50","58","0","1","left_rectangle","15pct","15pct","0","1","right_rectangle","15pct","85pct","0","2","bottom       top","15","15","0","2","bottom       bottom","15","85","0","1","Press E","4","15","0","1","Press I","4","85","0"
"060417","16:28:42","945186093","455843278","4.0.10.0","1","5","RMTS_test_2","A_negative_antonyms_left","750","0","0","0","0","0","18","1","3545","0","1","middle_rectangle","50pct","50pct","0","2","pic2.jpg","50","40","0","3","insect3.jpg","50","58","0","1","left_rectangle","15pct","15pct","0","1","right_rectangle","15pct","85pct","0","5","fast         slow","15","15","0","5","fast         fast","15","85","0","1","Press E","4","15","0","1","Press I","4","85","0"
"060417","16:28:42","945186093","455843278","4.0.10.0","1","6","RMTS_test_2","A_positive_synonyms_right","750","0","0","0","0","0","23","1","5088","0","1","middle_rectangle","50pct","50pct","0","4","pic4.jpg","50","40","0","6","flower6.jpg","50","58","0","1","left_rectangle","15pct","15pct","0","1","right_rectangle","15pct","85pct","0","1","top          bottom","15","15","0","1","top          top","15","85","0","1","Press E","4","15","0","1","Press I","4","85","0"
"060417","16:28:42","945186093","455843278","4.0.10.0","1","7","RMTS_test_2","A_negative_antonyms_left","750","0","0","0","0","0","18","1","3924","0","1","middle_rectangle","50pct","50pct","0","6","pic5.jpg","50","40","0","5","insect5.jpg","50","58","0","1","left_rectangle","15pct","15pct","0","1","right_rectangle","15pct","85pct","0","3","empty        full","15","15","0","3","empty        empty","15","85","0","1","Press E","4","15","0","1","Press I","4","85","0"
"060417","16:28:42","945186093","455843278","4.0.10.0","1","8","RMTS_test_2","A_positive_synonyms_right","750","0","0","0","0","0","23","1","2880","0","1","middle_rectangle","50pct","50pct","0","3","pic3.jpg","50","40","0","3","flower3.jpg","50","58","0","1","left_rectangle","15pct","15pct","0","1","right_rectangle","15pct","85pct","0","6","slow         fast","15","15","0","6","slow         slow","15","85","0","1","Press E","4","15","0","1","Press I","4","85","0"
"060417","16:28:42","945186093","455843278","4.0.10.0","1","9","RMTS_test_2","A_negative_antonyms_left","750","0","0","0","0","0","18","1","2588","0","1","middle_rectangle","50pct","50pct","0","1","pic1.jpg","50","40","0","4","insect4.jpg","50","58","0","1","left_rectangle","15pct","15pct","0","1","right_rectangle","15pct","85pct","0","5","fast         slow","15","15","0","5","fast         fast","15","85","0","1","Press E","4","15","0","1","Press I","4","85","0"
"060417","16:28:42","945186093","455843278","4.0.10.0","1","10","RMTS_test_2","A_positive_synonyms_right","750","0","0","0","0","0","23","1","3251","0","1","middle_rectangle","50pct","50pct","1","2","pic2.jpg","50","40","1","4","flower4.jpg","50","58","1","1","left_rectangle","15pct","15pct","1","1","right_rectangle","15pct","85pct","1","1","top          bottom","15","15","1","1","top          top","15","85","1","1","Press E","4","15","1","1","Press I","4","85","1"
